,,'berço oeste','berço leste','retomadora','c3'
,'Timestamp','WIT_798A-OE','WIT_798A-LE','309TP003-WQI003-R','309TP003-WQI004-R'
,21/01/2011 13:40:00,20202,0,1134420,'1194566,88'
,21/01/2011 13:50:00,20202,0,'1134987,25','1194566,88'
,21/01/2011 14:00:00,20202,0,'1135555,5','1194566,88'
,21/01/2011 14:10:00,20202,0,'1136124,13','1194566,88'
,21/01/2011 14:20:00,20202,0,'1136690,63','1194566,88'
,21/01/2011 14:30:00,20202,0,'1137256,25','1194566,88'
,21/01/2011 14:40:00,20202,0,'1137821,88','1194566,88'
,21/01/2011 14:50:00,20202,0,'1138387,13','1194566,88'
,21/01/2011 15:00:00,20202,0,'1138952,75','1194566,88'
,21/01/2011 15:10:00,20202,0,'1139517,75','1194566,88'
,21/01/2011 15:20:00,20202,0,'1140082,5','1194566,88'
,21/01/2011 15:30:00,20202,0,'1140647,13','1194566,88'
,21/01/2011 15:40:00,20202,0,'1141211,38','1194566,88'
,21/01/2011 15:50:00,20202,0,'1141774,38','1194566,88'
,21/01/2011 16:00:00,20202,0,1142338,'1194566,88'
,21/01/2011 16:10:00,20202,0,'1142900,88','1194566,88'
,21/01/2011 16:20:00,20202,0,'1143465,38','1194566,88'
,21/01/2011 16:30:00,20202,0,'1144031,63','1194566,88'
,21/01/2011 16:40:00,20202,0,'1144600,75','1194566,88'
,21/01/2011 16:50:00,20202,0,'1145172,88','1194566,88'
,21/01/2011 17:00:00,20202,0,,
,21/01/2011 17:10:00,20202,0,'1146319,25','1194566,88'
,21/01/2011 17:20:00,20202,0,'1146893,63','1194566,88'
,21/01/2011 17:30:00,20202,0,,
,21/01/2011 17:40:00,20202,0,'1148043,63','1194566,88'
,21/01/2011 17:50:00,20202,0,'1148614,13','1194566,88'
,21/01/2011 18:00:00,20202,0,1149184,'1194566,88'
,21/01/2011 18:10:00,20202,0,,
,21/01/2011 18:20:00,20202,0,'1150318,38','1194566,88'
,21/01/2011 18:30:00,20202,0,'1150887,25','1194566,88'
,21/01/2011 18:40:00,20202,0,'1151455,75','1194566,88'
,21/01/2011 18:50:00,20202,0,1152025,'1194566,88'
,21/01/2011 19:00:00,20202,0,'1152595,13','1194566,88'
,21/01/2011 19:10:00,20202,0,'1153165,5','1194566,88'
,21/01/2011 19:20:00,20202,0,'1153736,63','1194566,88'
,21/01/2011 19:30:00,20202,0,'1154308,25','1194566,88'
,21/01/2011 19:40:00,20202,0,'1154880,5','1194566,88'
,21/01/2011 19:50:00,20202,0,'1155452,75','1194566,88'
,21/01/2011 20:00:00,20202,0,'1156024,5','1194566,88'
,21/01/2011 20:10:00,20202,0,'1156597,13','1194566,88'
,21/01/2011 20:20:00,20202,0,'1157168,88','1194566,88'
,21/01/2011 20:30:00,20202,0,1157741,'1194566,88'
,21/01/2011 20:40:00,20202,0,'1158312,5','1194566,88'
,21/01/2011 20:50:00,20202,0,'1158884,13','1194566,88'
,21/01/2011 21:00:00,20202,0,'1159455,75','1194566,88'
,21/01/2011 21:10:00,20202,0,'1160027,25','1194566,88'
,21/01/2011 21:20:00,20202,0,'1160598,88','1194566,88'
,21/01/2011 21:30:00,20202,0,'1161170,75','1194566,88'
,21/01/2011 21:40:00,20202,0,'1161742,25','1194566,88'
,21/01/2011 21:50:00,20202,0,'1162313,38','1194566,88'
,21/01/2011 22:00:00,20202,0,'1162885,13','1194566,88'
,21/01/2011 22:10:00,20202,0,1163456,'1194566,88'
,21/01/2011 22:20:00,20202,0,1164028,'1194566,88'
,21/01/2011 22:30:00,'20228,15',0,'1164599,38',1194567
,21/01/2011 22:40:00,'20228,81',0,'1165172,13','1194595,63'
,21/01/2011 22:50:00,'20229,48',0,'1165742,13','1194595,75'
,21/01/2011 23:00:00,'20230,14',0,'1166311,38','1194595,88'
,21/01/2011 23:10:00,'20230,8',0,'1166880,63','1194596,38'
,21/01/2011 23:20:00,'21173,26',0,'1167724,88','1194797,75'
,21/01/2011 23:30:00,'22398,39',0,1169498,'1195990,5'
,21/01/2011 23:40:00,'23633,18',0,'1171385,38',1197331
,21/01/2011 23:50:00,24850,0,'1173221,63','1198606,25'
,22/01/2011 00:00:00,26129,0,'1174968,75','1199815,75'
,22/01/2011 00:10:00,27270,0,'1176741,63','1201012,5'
,22/01/2011 00:20:00,28373,0,'1178360,5','1202110,25'
,22/01/2011 00:30:00,'29274,68',0,'1180002,13','1203248,5'
,22/01/2011 00:40:00,'30248,46',0,'1181471,38','1204143,63'
,22/01/2011 00:50:00,'30276,86',0,'1182461,25','1204622,63'
,22/01/2011 01:00:00,'30888,15',0,1183332,1204863
,22/01/2011 01:10:00,'31139,67',0,1184409,'1205446,25'
,22/01/2011 01:20:00,31572,0,'1185299,88','1205736,88'
,22/01/2011 01:30:00,'31636,04',0,'1186096,13','1206008,63'
,22/01/2011 01:40:00,'31636,09',0,'1186665,5','1206008,75'
,22/01/2011 01:50:00,'31636,14',0,'1187242,38','1206008,88'
,22/01/2011 02:00:00,'31636,2',0,'1187825,38',1206009
,22/01/2011 02:10:00,'31636,25',0,'1188408,63',1206009
,22/01/2011 02:20:00,'31636,3',0,'1188991,88',1206009
,22/01/2011 02:30:00,'31636,35',0,'1189575,5',1206009
,22/01/2011 02:40:00,'31636,41',0,'1190160,38',1206009
,22/01/2011 02:50:00,'31636,46',0,'1190743,75',1206009
,22/01/2011 03:00:00,'31636,51',0,'1191329,5',1206009
,22/01/2011 03:10:00,'31636,57',0,'1191915,13',1206009
,22/01/2011 03:20:00,'31636,62',0,'1192500,25',1206009
,22/01/2011 03:30:00,'31636,67',0,'1193085,25',1206009
,22/01/2011 03:40:00,'31636,73',0,'1193671,13',1206009
,22/01/2011 03:50:00,'31636,78',0,'1194255,63',1206009
,22/01/2011 04:00:00,'31636,83',0,'1194841,25',1206009
,22/01/2011 04:10:00,'31636,89',0,'1195425,75',1206009
,22/01/2011 04:20:00,'31636,94',0,'1196010,38',1206009
,22/01/2011 04:30:00,'31636,99',0,1196596,'1206009,13'
,22/01/2011 04:40:00,'31642,63',0,'1197176,25','1206015,25'
,22/01/2011 04:50:00,'31909,37',0,1197786,'1206015,63'
,22/01/2011 05:00:00,32712,0,'1198989,88',1206666
,22/01/2011 05:10:00,33617,0,'1200311,25','1207395,88'
,22/01/2011 05:20:00,34146,0,'1201866,75','1208380,63'
,22/01/2011 05:30:00,34146,0,'1202482,13','1208519,38'
,22/01/2011 05:40:00,34269,0,'1203076,38',1208544
,22/01/2011 05:50:00,'34959,74',0,'1204348,25','1209168,5'
,22/01/2011 06:00:00,35128,0,1205042,'1209380,63'
,22/01/2011 06:10:00,'36124,04',0,'1206334,13','1210018,25'
,22/01/2011 06:20:00,37137,0,'1207808,63','1210982,75'
,22/01/2011 06:30:00,38095,0,'1209400,25','1211993,13'
,22/01/2011 06:40:00,39133,0,'1210918,38',1212921
,22/01/2011 06:50:00,'40246,06',0,'1212547,63','1214009,5'
,22/01/2011 07:00:00,'40247,41',0,'1213634,25','1214625,13'
,22/01/2011 07:10:00,40587,0,'1214316,38','1214641,88'
,22/01/2011 07:20:00,40887,0,'1215401,88','1215264,75'
,22/01/2011 07:30:00,40887,0,'1215974,88','1215264,75'
,22/01/2011 07:40:00,40887,0,'1216547,13','1215264,88'
,22/01/2011 07:50:00,40887,0,'1217118,13','1215264,88'
,22/01/2011 08:00:00,40887,0,'1217688,75','1215264,88'
,22/01/2011 08:10:00,40887,0,'1218261,13','1215264,88'
,22/01/2011 08:20:00,40887,0,'1218835,5','1215264,88'
,22/01/2011 08:30:00,40887,0,'1219409,63','1215264,88'
,22/01/2011 08:40:00,40887,0,'1219983,5','1215264,88'
,22/01/2011 08:50:00,40887,0,'1220556,88','1215264,88'
,22/01/2011 09:00:00,40887,0,'1221130,13','1215264,88'
,22/01/2011 09:10:00,40887,0,1221705,'1215264,88'
,22/01/2011 09:20:00,40887,0,'1222278,38','1215264,88'
,22/01/2011 09:30:00,40887,0,'1222850,5','1215264,88'
,22/01/2011 09:40:00,40887,0,'1223422,13','1215264,88'
,22/01/2011 09:50:00,40887,0,'1223991,88','1215264,88'
,22/01/2011 10:00:00,40887,0,'1224558,63','1215264,88'
,22/01/2011 10:10:00,40887,0,'1225124,63','1215264,88'
,22/01/2011 10:20:00,40887,0,1225689,'1215264,88'
,22/01/2011 10:30:00,40887,0,1226253,'1215264,88'
,22/01/2011 10:40:00,40887,0,'1226825,38','1215264,88'
,22/01/2011 10:50:00,40887,0,1227399,'1215264,88'
,22/01/2011 11:00:00,40887,0,'1227964,25','1215264,88'
,22/01/2011 11:10:00,40887,0,'1228532,75','1215264,88'
,22/01/2011 11:20:00,40887,0,'1229100,63','1215264,88'
,22/01/2011 11:30:00,40887,0,'1229664,88','1215264,88'
,22/01/2011 11:40:00,40887,0,'1230233,5','1215264,88'
,22/01/2011 11:50:00,40887,0,'1230811,38','1215264,88'
,22/01/2011 12:00:00,40887,0,'1231387,63','1215264,88'
,22/01/2011 12:10:00,40887,0,'1231960,88','1215264,88'
,22/01/2011 12:20:00,40887,0,'1232536,38','1215264,88'
,22/01/2011 12:30:00,40887,0,'1233106,38','1215264,88'
,22/01/2011 12:40:00,40887,0,'1233675,5','1215264,88'
,22/01/2011 12:50:00,40887,0,'1234245,13','1215264,88'
